Name,Year,Duration,Genre,Rating,Director,Actor 1,Actor 2,Actor 3
A Wednesday,2008.0,104.0,"Action, Crime, Drama",8.1,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
A.R Rahman Encore Tour,2017.0,123.5,Musical,5.841621416845562,Deepak Gattani,A.R. Rahman,Unknown,Unknown
Aa Ab Laut Chalen,1999.0,177.0,"Musical, Romance, Drama",5.5,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018.0,121.0,Drama,8.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Bhi Ja O Piya,2021.0,140.0,"Family, Romance",5.841621416845562,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aa Dekhen Zara,2009.0,117.0,"Action, Sci-Fi, Thriller",5.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973.0,148.0,"Action, Drama, Romance",7.2,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994.0,158.0,"Mystery, Romance",4.4,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017.0,123.0,Action,2.7,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016.0,120.0,Drama,6.8,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,1999.0,133.0,Action,4.9,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,2004.0,144.0,Fantasy,2.4,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1956.0,130.0,Romance,5.841621416845562,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
Aabroo,1968.0,170.0,"Comedy, Crime, Drama",5.5,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabroo,1943.0,142.0,Other,5.2,Nazir,Unknown,Unknown,Unknown
Aabshar,1953.0,137.0,"Drama, Romance",5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadab Arz,1943.0,142.0,Other,5.2,V.C. Desai,Nalini Jaywant,Mukesh,Unknown
Aadab Hyderabad,2007.0,104.0,Other,5.841621416845562,Sanjay Punjabi,Unknown,Unknown,Unknown
Aadamkhor,1986.0,133.0,Action,5.5,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,2018.0,72.0,Horror,7.4,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadamkhor Hasina,2002.0,133.0,Action,5.841621416845562,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
Aadarniy Pitaji,2020.0,102.0,Family,5.841621416845562,Prashant Kumar,Unknown,Unknown,Unknown
Aadarsh,1983.0,121.0,Drama,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Aadat,1989.0,142.0,Other,5.841621416845562,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
Aadat Se Majboor,1982.0,105.0,"Action, Crime, Drama",5.5,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977.0,132.0,Action,5.1,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019.0,107.0,Drama,7.6,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadhaar,2004.0,121.0,Drama,5.841621416845562,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
Aadharshila,1982.0,154.0,Drama,6.4,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhe Adhure,1996.0,121.0,Drama,5.841621416845562,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
Aadhi Bhagavan,2013.0,157.0,"Action, Crime, Thriller",5.4,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
"Aadhi Haqeeqat, Aadha Fasana",1990.0,88.0,Documentary,5.841621416845562,Dilip Ghosh,Unknown,Unknown,Unknown
Aadhi Mimansa,1991.0,142.0,Other,6.2,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
